cod_radio,pob_total,pob_infantil,pct_infantil
020700907,872,128,14.68
020700908,823,116,14.09
020700909,757,146,19.29
020700910,885,154,17.4
020701001,800,99,12.38
020701002,1053,166,15.76
020701003,894,142,15.88
020701004,738,97,13.14
020701005,908,128,14.1
020701006,928,157,16.92
020701007,758,122,16.09
020701008,937,130,13.87
020701009,960,134,13.96
020701010,750,117,15.6
020701011,814,147,18.06
020701012,858,141,16.43
020701101,908,137,15.09
020701102,933,137,14.68
020701103,1031,171,16.59
020701104,740,139,18.78
020701105,680,138,20.29
020701106,414,85,20.53
020701107,788,136,17.26
020701108,825,125,15.15
020701109,918,113,12.31
020701110,693,114,16.45
020701111,624,130,20.83
020701201,928,145,15.62
020701202,847,125,14.76
020701203,739,126,17.05
020701204,576,99,17.19
020701205,345,64,18.55
020701206,331,61,18.43
020701207,619,98,15.83
020701208,777,109,14.03
020701209,820,104,12.68
020701210,695,110,15.83
020701301,609,109,17.9
020701302,976,147,15.06
020701303,590,83,14.07
020701304,590,99,16.78
020701305,866,128,14.78
020701306,737,103,13.98
020701307,639,78,12.21
020701308,687,87,12.66
020701309,750,118,15.73
020701310,669,94,14.05
020701311,594,79,13.3
020701312,578,82,14.19
020701401,917,142,15.49
020701402,1083,183,16.9
020701403,987,169,17.12
020701404,906,166,18.32
020701405,686,78,11.37
020701406,573,97,16.93
020701407,865,141,16.3
020701408,644,75,11.65
020701409,863,108,12.51
020701410,1023,120,11.73
020701411,545,74,13.58
020701501,632,104,16.46
020701502,824,114,13.83
020701503,626,101,16.13
020701504,676,98,14.5
020701505,867,130,14.99
020701506,781,95,12.16
020701507,757,93,12.29
020701508,986,143,14.5
020701509,1099,129,11.74
020701601,816,110,13.48
020701602,1069,133,12.44
020701603,850,103,12.12
020701604,890,104,11.69
020701605,554,70,12.64
020701606,1166,152,13.04
020701607,794,119,14.99
020701608,1063,133,12.51
020701609,990,150,15.15
020701610,532,63,11.84
020701701,765,104,13.59
020701702,1037,140,13.5
020701703,1195,174,14.56
020701704,1137,191,16.8
020701705,1092,173,15.84
020701706,1158,170,14.68
020701707,963,152,15.78
020701708,718,104,14.48
020701709,663,106,15.99
020701710,907,140,15.44
020701801,837,131,15.65
020701802,849,113,13.31
020701803,766,94,12.27
020701804,1015,175,17.24
020701805,663,96,14.48
020701806,565,74,13.1
020701807,710,100,14.08
020701808,712,85,11.94
020701809,723,96,13.28
020701810,557,82,14.72
020701811,516,70,13.57
020701812,769,106,13.78
020701901,559,88,15.74
020701902,1287,228,17.72
020701903,835,147,17.6
020701904,872,114,13.07
020701905,938,132,14.07
020701906,1045,147,14.07
020701907,902,125,13.86
020701908,556,77,13.85
020701909,755,84,11.13
020701910,652,94,14.42
020701911,1103,130,11.79
020701912,1158,160,13.82
020701913,555,68,12.25
020770101,903,107,11.85
020770102,1059,178,16.81
020770103,827,135,16.32
020770104,952,160,16.81
020770105,643,107,16.64
020770106,841,115,13.67
020770107,896,113,12.61
020770108,997,121,12.14
020770109,515,48,9.32
020770110,676,89,13.17
020770111,1045,161,15.41
020770112,779,109,13.99
020770113,434,49,11.29
020770114,502,57,11.35
020770201,898,158,17.59
020770202,1338,189,14.13
020770203,873,123,14.09
020770204,705,96,13.62
020770205,1056,152,14.39
020770206,989,155,15.67
020770207,988,153,15.49
020770208,893,133,14.89
020770209,722,114,15.79
020770210,1021,172,16.85
020770211,722,110,15.24
020770301,707,79,11.17
020770302,766,107,13.97
020770303,736,104,14.13
020770304,572,70,12.24
020770305,867,115,13.26
020770306,730,90,12.33
020770307,874,113,12.93
020770308,734,98,13.35
020770309,820,119,14.51
020770310,686,96,13.99
020770311,895,145,16.2
020770312,716,107,14.94
020770401,756,110,14.55
020770402,749,124,16.56
020770403,630,89,14.13
020770404,811,104,12.82
020770405,733,89,12.14
020770406,639,92,14.4
020770407,677,75,11.08
020770408,984,102,10.37
020770409,1009,120,11.89
020770410,662,89,13.44
020770411,1021,145,14.2
020770412,936,127,13.57
020770413,780,109,13.97
020770501,724,97,13.4
020770502,803,117,14.57
020770503,792,114,14.39
020770504,686,105,15.31
020770505,901,123,13.65
020770506,869,129,14.84
020770507,774,96,12.4
020770508,860,111,12.91
020770509,814,109,13.39
020770510,732,88,12.02
020770601,845,128,15.15
020770602,1239,172,13.88
020770603,1203,192,15.96
020770604,1303,172,13.2
020770605,1273,193,15.16
020770606,1119,144,12.87
020770607,1093,177,16.19
020770608,965,128,13.26
020770609,875,129,14.74
020770610,621,94,15.14
020770611,919,115,12.51
020770701,518,73,14.09
020770702,987,147,14.89
020770703,881,127,14.42
020770704,1041,146,14.02
020770705,1055,156,14.79
020770706,1064,146,13.72
020770707,922,113,12.26
020770708,862,134,15.55
020770709,1065,167,15.68
020770710,1027,148,14.41
020770711,1077,149,13.83
020770712,929,131,14.1
020770801,873,127,14.55
020770802,911,137,15.04
020770803,591,74,12.52
020770804,709,80,11.28
020770805,775,79,10.19
020770806,1096,159,14.51
020770807,1102,141,12.79
020770808,1059,133,12.56
020770809,956,121,12.66
020770901,969,150,15.48
020770902,764,119,15.58
020770903,1040,168,16.15
020770904,620,81,13.06
020770905,755,93,12.32
020770906,691,88,12.74
020770907,713,85,11.92
020770908,752,89,11.84
020770909,604,92,15.23
020770910,932,141,15.13
020770911,664,90,13.55
020770912,753,104,13.81
020771001,893,111,12.43
020771002,1179,176,14.93
020771003,760,83,10.92
020771004,1025,142,13.85
020771005,1210,167,13.8
020771006,1355,190,14.02
020771007,1349,205,15.2
020771008,660,90,13.64
020771009,1166,160,13.72
020771010,920,135,14.67
020771011,742,122,16.44
020771101,832,103,12.38
020771102,1147,183,15.95
020771103,1050,180,17.14
020771104,328,46,14.02
020771105,1073,155,14.45
020771106,1019,150,14.72
020771107,920,157,17.07
020771108,947,143,15.1
020771109,749,107,14.29
020771201,863,120,13.9
020771202,743,104,14.0
020771203,1163,175,15.05
020771204,786,114,14.5
020771205,658,107,16.26
020771206,836,119,14.23
020771207,713,88,12.34
020771208,668,105,15.72
020771209,722,76,10.53
020771210,907,138,15.21
020771301,747,93,12.45
020771302,758,100,13.19
020771303,728,103,14.15
020771304,924,115,12.45
020771305,831,85,10.23
020771306,999,153,15.32
020771307,758,103,13.59
020771308,748,93,12.43
020771309,980,128,13.06
020771310,914,140,15.32
020771311,867,121,13.96
020771401,914,126,13.79
020771402,880,140,15.91
020771403,977,130,13.31
020771404,698,102,14.61
020771405,944,125,13.24
020771406,618,85,13.75
020771407,1445,208,14.39
020771408,794,125,15.74
020771501,1008,143,14.19
020771502,888,145,16.33
020771503,1049,145,13.82
020771504,999,147,14.71
020771505,819,105,12.82
020771506,665,85,12.78
020771507,733,106,14.46
020771508,864,122,14.12
020771509,990,115,11.62
020771510,917,145,15.81
020771511,1090,139,12.75
020771601,1005,119,11.84
020771602,545,81,14.86
020771603,838,120,14.32
020771604,743,89,11.98
020771605,1128,132,11.7
020771606,970,150,15.46
020771607,1084,181,16.7
020771608,1077,159,14.76
020771609,762,112,14.7
020771610,720,106,14.72
020771611,590,93,15.76
020771701,793,117,14.75
020771702,795,129,16.23
020771703,962,163,16.94
020771704,825,127,15.39
020771705,750,136,18.13
020771706,771,96,12.45
020771707,755,98,12.98
020771708,672,109,16.22
020771801,763,100,13.11
020771802,813,113,13.9
020771803,1119,172,15.37
020771804,1107,163,14.72
020771805,1075,149,13.86
020771806,852,101,11.85
020771807,758,101,13.32
020771808,727,122,16.78
020771809,630,109,17.3
020771810,1166,213,18.27
020771901,679,121,17.82
020771902,887,108,12.18
020771903,649,96,14.79
